Iteration,x1,x2,x3,x4,x5,x6,Objective Value
1,0.09,0.09,0.09,0.09,0.09,0.09,1.34076
2,0.16,0.16,0.16,0.16,0.16,0.16,2.38357
3,0.126754,0.19,0.24,0.19,0.129128,0.118954,2.5916
4,0.103879,0.19,0.24,0.19,0.180583,0.09,2.5942
5,0.129069,0.19,0.24,0.19,0.111528,0.139282,2.59967
6,0.166266,0.19,0.24,0.19,0.106797,0.10494,2.59989
7,0.151628,0.19,0.24,0.19,0.1093,0.118947,2.6021
8,0.154219,0.19,0.24,0.19,0.121839,0.103262,2.6028
9,0.19,0.19,0.24,0.19,0.0999282,0.09,2.60569
10,0.19,0.19,0.24,0.19,0.0999282,0.09,2.60569
11,0.19,0.19,0.24,0.19,0.0999621,0.09,2.60576
12,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
13,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
14,0.19,0.19,0.24,0.19,0.0999867,0.09,2.60581
15,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
16,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
17,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
18,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
19,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
20,0.19,0.19,0.24,0.19,0.0999941,0.09,2.60582
21,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
22,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
23,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
24,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
25,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
26,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
27,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
28,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
29,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
30,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
31,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
32,0.185983,0.19,0.24,0.19,0.104016,0.09,2.60582
33,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
34,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
35,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
36,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
37,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
38,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
39,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
40,0.185715,0.19,0.24,0.19,0.104285,0.09,2.60583
41,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
42,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
43,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
44,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
45,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
46,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
47,0.19,0.19,0.24,0.19,0.0999977,0.09,2.60583
48,0.188025,0.19,0.24,0.19,0.101974,0.09,2.60583
49,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
50,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
51,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
52,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
53,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
54,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
55,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
56,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
57,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
58,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
59,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
60,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
61,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
62,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
63,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
64,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
65,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
66,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
67,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
68,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
69,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
70,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
71,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
72,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
73,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
74,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
75,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
76,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
77,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
78,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
79,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
80,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
81,0.189025,0.19,0.24,0.19,0.100974,0.09,2.60583
82,0.189559,0.19,0.24,0.19,0.10044,0.09,2.60583
83,0.189559,0.19,0.24,0.19,0.10044,0.09,2.60583
84,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
85,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
86,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
87,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
88,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
89,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
90,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
91,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
92,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
93,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
94,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
95,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
96,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
97,0.189127,0.19,0.24,0.19,0.100872,0.09,2.60583
98,0.189131,0.19,0.24,0.19,0.100869,0.09,2.60583
99,0.189131,0.19,0.24,0.19,0.100869,0.09,2.60583
100,0.189131,0.19,0.24,0.19,0.100869,0.09,2.60583
101,0.189131,0.19,0.24,0.19,0.100869,0.09,2.60583
102,0.189131,0.19,0.24,0.19,0.100869,0.09,2.60583
103,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
104,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
105,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
106,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
107,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
108,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
109,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
110,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
111,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
112,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
113,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
114,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
115,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
116,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
117,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
118,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
119,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
120,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
121,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
122,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
123,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
124,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
125,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
126,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
127,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
128,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
129,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
130,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
131,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
132,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
133,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
134,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
135,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
136,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
137,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
138,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
139,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
140,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
141,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
142,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
143,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
144,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
145,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
146,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
147,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
148,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
149,0.189261,0.19,0.24,0.19,0.100739,0.09,2.60583
150,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
151,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
152,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
153,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
154,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
155,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
156,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
157,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
158,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
159,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
160,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
161,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
162,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
163,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
164,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
165,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
166,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
167,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
168,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
169,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
170,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
171,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
172,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
173,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
174,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
175,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
176,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
177,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
178,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
179,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
180,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
181,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
182,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
183,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
184,0.19,0.19,0.24,0.19,0.0999999,0.09,2.60583
185,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
186,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
187,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
188,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
189,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
190,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
191,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
192,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
193,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
194,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
195,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
196,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
197,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
198,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
199,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
200,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
201,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
202,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
203,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
204,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
205,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
206,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
207,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
208,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
209,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
210,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
211,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
212,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
213,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
214,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
215,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
216,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
217,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
218,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
219,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
220,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
221,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
222,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
223,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
224,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
225,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
226,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
227,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
228,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
229,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
230,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
231,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
232,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
233,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
234,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
235,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
236,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
237,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
238,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
239,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
240,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
241,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
242,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
243,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
244,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
245,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
246,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
247,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
248,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
249,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
250,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
251,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
252,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
253,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
254,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
255,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
256,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
257,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
258,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
259,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
260,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
261,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
262,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
263,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
264,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
265,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
266,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
267,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
268,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
269,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
270,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
271,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
272,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
273,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
274,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
275,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
276,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
277,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
278,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
279,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
280,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
281,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
282,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
283,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
284,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
285,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
286,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
287,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
288,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
289,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
290,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
291,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
292,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
293,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
294,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
295,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
296,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
297,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
298,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
299,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
300,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
301,0.19,0.19,0.24,0.19,0.1,0.09,2.60583
